Date,Well,Ø_size,Pwh,Twh,ΔP_choke,Qo,Qg
2008-06-05,5599,43.41881291666667,67.02729729166667,79.60313416666666,33.538475625,5040.47,768018.95
2008-08-16,5599,57.2316125,73.12758729166667,80.936965625,39.5697625,5479.4,799524.84
2008-08-17,5599,57.284084166666666,72.64584791666667,80.30485854166666,39.1139225,5443.61,795277.26
2008-08-18,5599,56.925529375,72.44522020833334,79.88848895833334,38.95502625,5374.18,810900.02
2008-08-19,5599,56.70426520833333,72.13441833333333,80.28439979166667,38.6708475,5315.03,801345.75
2008-11-04,5599,65.914186875,56.325687083333335,79.23373104166667,23.476838333333333,5124.32,738155.43
2008-11-05,5599,66.817134375,55.961018958333334,78.21195520833334,23.077194166666665,5188.07,734342.85
2008-11-06,5599,67.2783225,55.835664791666666,76.15206854166667,22.941682916666668,5204.11,746222.61
2008-11-07,5599,70.7436675,54.27439916666667,76.206360625,21.30236,5136.25,728626.38
2008-11-08,5599,70.75830895833333,54.321162083333334,77.011391875,21.333404791666666,5141.34,730423.46
2008-11-09,5599,69.841770625,54.734161666666665,76.3780275,21.74271166666667,5114.03,725814.65
2008-11-10,5599,68.196389375,55.5245675,76.42964041666667,22.556663541666666,5059.68,719057.67
2008-11-11,5599,68.21416979166666,55.55675375,77.58728270833333,22.593255208333332,5076.6,720765.9
2008-11-12,5599,68.20333333333333,55.296787916666666,79.10504645833333,22.32196666666667,5065.13,722185.08
2008-11-13,5599,68.236894375,55.628339375,77.91104604166667,22.661321875,5083.98,723021.25
2008-11-14,5599,68.2673325,55.787276041666665,76.95234145833334,22.802294375,5106.19,726187.77
2008-11-15,5599,67.78167770833333,55.9677725,77.97083625,22.991090208333333,5097.33,725355.82
2008-11-16,5599,67.73251229166667,55.866218333333336,78.64859125,22.897617083333333,5082.14,724024.78
2008-11-17,5599,66.33881708333334,56.109958085106385,77.22413680851064,23.144606808510638,5076.81,723171.46
2008-11-18,5599,67.76172833333334,55.955677083333335,78.48777020833333,22.97260375,5074.4,724334.15
2008-11-19,5599,72.56489166666667,53.85916770833333,78.9578725,20.769912083333335,5223.41,744775.94
2008-11-20,5599,70.34545125,54.58055287958115,78.5068209947644,21.558302460732985,5116.54,729920.52
2008-11-22,5599,67.74944208333334,56.05049666666667,78.064296875,22.60361375,5033.51,721488.52
2008-11-25,5599,67.965275625,56.022505625,78.67659520833334,22.763851875,5062.55,726974.27
2008-11-26,5599,70.48448583333334,55.114252291666666,78.62217416666667,21.773646875,5145.94,739602.33
2008-11-27,5599,72.35622,54.58447708333333,76.73295270833333,21.182449375,5200.4,750704.44
2008-11-30,5599,70.24967416666667,56.092433541666665,79.67628208333333,22.63653645833333,5255.58,756828.7
2008-12-01,5599,66.29216708333334,59.34125041666667,78.814433125,25.978362708333332,5095.38,738451.22
2008-12-02,5599,70.49833354166667,57.77541875,79.04328416666667,24.339508958333333,5276.15,763664.01
2008-12-03,5599,70.10870583333333,56.78943395833333,79.84031375,23.284666875,5333.02,771333.77
2008-12-04,5599,69.736463125,57.686680625,77.049145,24.192131458333332,5434.56,783688.84
2008-12-05,5599,65.06152541666667,60.37969875,76.773253125,27.016417708333332,5209.39,749252.75
2008-12-06,5599,66.46087520833333,59.516397708333336,79.869051875,26.082305833333333,5292.17,764102.01
2008-12-07,5599,66.66874708333333,60.422305,78.69308666666667,26.959248125,5322.5,770155.23
2008-12-08,5599,64.09197520833334,62.01235,78.76211375,28.596374375,5241.8,715215.81
2008-12-09,5599,64.53006270833333,61.684668125,79.71066229166667,28.245739166666667,5277.55,730268.11
2008-12-10,5599,64.692979375,61.86963958333333,79.32348916666666,28.42726645833333,5286.4,766437.14
2008-12-11,5599,61.63559145833333,64.96997458333334,77.31849104166666,31.686641041666668,5126.1,740304.81
2008-12-12,5599,62.64983625,63.772301875,77.43264395833333,30.401580625,5239.81,757727.37
2008-12-13,5599,62.669244791666664,64.00491479166666,75.8843025,30.62288145833333,5281.86,760767.37
2008-12-14,5599,62.66248541666667,64.24893645833333,76.39249375,30.853970416666666,5302.74,766323.87
2008-12-15,5599,62.79158375,64.48741270833334,77.839956875,31.075439583333335,5270.91,770084.76
2008-12-16,5599,63.25265375,64.51100041666666,77.47418270833333,31.048490833333332,5300.99,777260.85
2008-12-17,5599,63.2551425,64.51560166666667,78.28060854166667,30.999609791666668,5338.2,782191.24
2008-12-18,5599,63.24997520833333,64.93682729166666,77.604638125,31.40675020833333,5377.18,785912.44
2008-12-19,5599,63.323307291666666,65.16175520833333,78.2985275,31.611340416666668,5386.94,787881.9
